% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0162143	3	3	0	1.26643e-12	2669.86	0
0.0162143	3	6	0	0.00333333	7.02728e+12	0
0.0172143	1	1	0	1.26635e-12	2669.7	0
0.0172143	1	4	0	0.00333333	7.02728e+12	0
0.0172143	2	2	0	1.26635e-12	2669.7	0
0.0172143	2	5	0	0.00333333	7.02728e+12	0
0.0172143	3	3	0	1.26643e-12	2669.86	0
0.0172143	3	6	0	0.00333333	7.02728e+12	0
0.0182143	1	1	0	1.26635e-12	2669.7	0
0.0182143	1	4	0	0.00333333	7.02728e+12	0
0.0182143	2	2	0	1.26635e-12	2669.7	0
0.0182143	2	5	0	0.00333333	7.02728e+12	0
0.0182143	3	3	0	1.26643e-12	2669.86	0
0.0182143	3	6	0	0.00333333	7.02728e+12	0
0.0192143	1	1	0	1.26635e-12	2669.7	0
0.0192143	1	4	0	0.00333333	7.02728e+12	0
0.0192143	2	2	0	1.26635e-12	2669.7	0
0.0192143	2	5	0	0.00333333	7.02728e+12	0
0.0192143	3	3	0	1.26643e-12	2669.86	0
0.0192143	3	6	0	0.00333333	7.02728e+12	0
0.0202143	1	1	0	1.26635e-12	2669.7	0
0.0202143	1	4	0	0.00333333	7.02728e+12	0
0.0202143	2	2	0	1.26635e-12	2669.7	0
0.0202143	2	5	0	0.00333333	7.02728e+12	0
0.0202143	3	3	0	1.26643e-12	2669.86	0
0.0202143	3	6	0	0.00333333	7.02728e+12	0
0.0212143	1	1	1	1.26635e-12	2669.7	0
0.0212143	1	4	2	0.00333333	7.02728e+12	0
0.0212143	2	2	1	1.26635e-12	2669.7	0
0.0212143	2	5	2	0.00333333	7.02728e+12	0
0.0212143	3	3	1	1.26643e-12	2669.86	0
0.0212143	3	6	2	0.00333333	7.02728e+12	0
0.0222143	1	1	1	1.26635e-12	2669.7	0
0.0222143	1	4	2	0.00333333	7.02728e+12	0
0.0222143	2	2	1	1.26635e-12	2669.7	0
0.0222143	2	5	2	0.00333333	7.02728e+12	0
0.0222143	3	3	1	1.26643e-12	2669.86	0
0.0222143	3	6	2	0.00333333	7.02728e+12	0
0.0232143	1	1	1	1.26635e-12	2669.7	0
0.0232143	1	4	2	0.00333333	7.02728e+12	0
0.0232143	2	2	1	1.26635e-12	2669.7	0
0.0232143	2	5	2	0.00333333	7.02728e+12	0
0.0232143	3	3	1	1.26643e-12	2669.86	0
0.0232143	3	6	2	0.00333333	7.02728e+12	0
0.0242143	1	1	1	1.26635e-12	0.499891	0
0.0242143	1	4	2	0.00333333	3.94608e+09	0
0.0242143	2	2	1	1.26635e-12	0.499891	0
0.0242143	2	5	2	0.00333333	3.94608e+09	0
0.0242143	3	3	1	1.26643e-12	0.499937	0
0.0242143	3	6	2	0.00333333	3.946e+09	0
0.0252143	1	1	1	1.26635e-12	0.499891	0
0.0252143	1	4	2	0.00333333	3.94608e+09	0
0.0252143	2	2	1	1.26635e-12	0.499891	0
0.0252143	2	5	2	0.00333333	3.94608e+09	0
0.0252143	3	3	1	1.26643e-12	0.499937	0
0.0252143	3	6	2	0.00333333	3.946e+09	0
0.0262143	1	1	1	1.26635e-12	0.499891	0
0.0262143	1	4	2	0.00333333	3.94608e+09	0
0.0262143	2	2	1	1.26635e-12	0.499891	0
0.0262143	2	5	2	0.00333333	3.94608e+09	0
0.0262143	3	3	1	1.26643e-12	0.499937	0
0.0262143	3	6	2	0.00333333	3.946e+09	0
0.0272143	1	1	1	1.26635e-12	0.499891	0
0.0272143	1	4	2	0.00333333	3.94608e+09	0
0.0272143	2	2	1	1.26635e-12	0.499891	0
0.0272143	2	5	2	0.00333333	3.94608e+09	0
