% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
1.003	3	6	3	1.76422e+06	0
1.041	1	1	1	0.499845	0
1.041	2	2	1	0.499845	0
1.041	3	3	1	0.499845	0
1.043	1	4	3	1.76422e+06	0
1.043	2	5	3	1.76422e+06	0
1.043	3	6	3	1.76422e+06	0
1.081	1	1	1	0.499845	0
1.081	2	2	1	0.499845	0
1.081	3	3	1	0.499845	0
1.083	1	4	3	1.76422e+06	0
1.083	2	5	3	1.76422e+06	0
1.083	3	6	3	1.76422e+06	0
1.121	1	1	1	0.499845	0
1.121	2	2	1	0.499845	0
1.121	3	3	1	0.499845	0
1.123	1	4	3	1.76422e+06	0
1.123	2	5	3	1.76422e+06	0
1.123	3	6	3	1.76422e+06	0
1.161	1	1	1	0.499845	0
1.161	2	2	1	0.499845	0
1.161	3	3	1	0.499845	0
1.163	1	4	3	1.76422e+06	0
1.163	2	5	3	1.76422e+06	0
1.163	3	6	3	1.76422e+06	0
1.201	1	1	1	0.499845	0
1.201	2	2	1	0.499845	0
1.201	3	3	1	0.499845	0
1.203	1	4	3	1.76422e+06	0
1.203	2	5	3	1.76422e+06	0
1.203	3	6	3	1.76422e+06	0
1.241	1	1	1	0.499845	0
1.241	2	2	1	0.499845	0
1.241	3	3	1	0.499845	0
1.243	1	4	3	1.76422e+06	0
1.243	2	5	3	1.76422e+06	0
1.243	3	6	3	1.76422e+06	0
1.281	1	1	1	0.499845	0
1.281	2	2	1	0.499845	0
1.281	3	3	1	0.499845	0
1.283	1	4	3	1.76422e+06	0
1.283	2	5	3	1.76422e+06	0
1.283	3	6	3	1.76422e+06	0
1.321	1	1	1	0.499845	0
1.321	2	2	1	0.499845	0
1.321	3	3	1	0.499845	0
1.323	1	4	3	1.76422e+06	0
1.323	2	5	3	1.76422e+06	0
1.323	3	6	3	1.76422e+06	0
1.361	1	1	1	0.499845	0
1.361	2	2	1	0.499845	0
1.361	3	3	1	0.499845	0
1.363	1	4	3	1.76422e+06	0
1.363	2	5	3	1.76422e+06	0
1.363	3	6	3	1.76422e+06	0
1.401	1	1	1	0.499845	0
1.401	2	2	1	0.499845	0
1.401	3	3	1	0.499845	0
1.403	1	4	3	1.76422e+06	0
1.403	2	5	3	1.76422e+06	0
1.403	3	6	3	1.76422e+06	0
1.441	1	1	1	0.499845	0
1.441	2	2	1	0.499845	0
1.441	3	3	1	0.499845	0
1.443	1	4	3	1.76422e+06	0
1.443	2	5	3	1.76422e+06	0
1.443	3	6	3	1.76422e+06	0
1.481	1	1	1	0.499845	0
1.481	2	2	1	0.499845	0
1.481	3	3	1	0.499845	0
1.483	1	4	3	1.76422e+06	0
1.483	2	5	3	1.76422e+06	0
1.483	3	6	3	1.76422e+06	0
1.521	1	1	1	0.499845	0
1.521	2	2	1	0.499845	0
1.521	3	3	1	0.499845	0
1.523	1	4	3	1.76422e+06	0
1.523	2	5	3	1.76422e+06	0
1.523	3	6	3	1.76422e+06	0
1.561	1	1	1	0.499845	0
1.561	2	2	1	0.499845	0
1.561	3	3	1	0.499845	0
1.563	1	4	3	1.76422e+06	0
1.563	2	5	3	1.76422e+06	0
1.563	3	6	3	1.76422e+06	0
1.601	1	1	1	0.499845	0
1.601	2	2	1	0.499845	0
1.601	3	3	1	0.499845	0
1.603	1	4	3	1.76422e+06	0
1.603	2	5	3	1.76422e+06	0
1.603	3	6	3	1.76422e+06	0
1.641	1	1	1	0.499845	0
1.641	2	2	1	0.499845	0
1.641	3	3	1	0.499845	0
1.643	1	4	3	1.76422e+06	0
1.643	2	5	3	1.76422e+06	0
1.643	3	6	3	1.76422e+06	0
1.681	1	1	1	0.499845	0
1.681	2	2	1	0.499845	0
1.681	3	3	1	0.499845	0
1.683	1	4	3	1.76422e+06	0
1.683	2	5	3	1.76422e+06	0
1.683	3	6	3	1.76422e+06	0
1.721	1	1	1	0.499845	0
1.721	2	2	1	0.499845	0
1.721	3	3	1	0.499845	0
1.723	1	4	3	1.76422e+06	0
1.723	2	5	3	1.76422e+06	0
1.723	3	6	3	1.76422e+06	0
1.761	1	1	1	0.499845	0
1.761	2	2	1	0.499845	0
1.761	3	3	1	0.499845	0
1.763	1	4	3	1.76422e+06	0
1.763	2	5	3	1.76422e+06	0
1.763	3	6	3	1.76422e+06	0
1.801	1	1	1	0.499845	0
1.801	2	2	1	0.499845	0
1.801	3	3	1	0.499845	0
1.803	1	4	3	1.76422e+06	0
1.803	2	5	3	1.76422e+06	0
1.803	3	6	3	1.76422e+06	0
1.841	1	1	1	0.499845	0
1.841	2	2	1	0.499845	0
1.841	3	3	1	0.499845	0
1.843	1	4	3	1.76422e+06	0
1.843	2	5	3	1.76422e+06	0
1.843	3	6	3	1.76422e+06	0
1.881	1	1	1	0.499845	0
1.881	2	2	1	0.499845	0
1.881	3	3	1	0.499845	0
1.883	1	4	3	1.76422e+06	0
1.883	2	5	3	1.76422e+06	0
1.883	3	6	3	1.76422e+06	0
1.921	1	1	1	0.499845	0
1.921	2	2	1	0.499845	0
1.921	3	3	1	0.499845	0
1.923	1	4	3	1.76422e+06	0
1.923	2	5	3	1.76422e+06	0
1.923	3	6	3	1.76422e+06	0
1.961	1	1	1	0.499845	0
1.961	2	2	1	0.499845	0
1.961	3	3	1	0.499845	0
1.963	1	4	3	1.76422e+06	0
1.963	2	5	3	1.76422e+06	0
1.963	3	6	3	1.76422e+06	0
2.001	1	1	1	0.499845	0
2.001	2	2	1	0.499845	0
2.001	3	3	1	0.499845	0
2.003	1	4	3	1.76422e+06	0
2.003	2	5	3	1.76422e+06	0
2.003	3	6	3	1.76422e+06	0
2.041	1	1	1	0.499845	0
2.041	2	2	1	0.499845	0
2.041	3	3	1	0.499845	0
2.043	1	4	3	1.76422e+06	0
2.043	2	5	3	1.76422e+06	0
2.043	3	6	3	1.76422e+06	0
2.081	1	1	1	0.499845	0
2.081	2	2	1	0.499845	0
2.081	3	3	1	0.499845	0
2.083	1	4	3	1.76422e+06	0
2.083	2	5	3	1.76422e+06	0
2.083	3	6	3	1.76422e+06	0
2.121	1	1	1	0.499845	0
2.121	2	2	1	0.499845	0
2.121	3	3	1	0.499845	0
2.123	1	4	3	1.76422e+06	0
2.123	2	5	3	1.76422e+06	0
2.123	3	6	3	1.76422e+06	0
2.161	1	1	1	0.499845	0
2.161	2	2	1	0.499845	0
2.161	3	3	1	0.499845	0
2.163	1	4	3	1.76422e+06	0
2.163	2	5	3	1.76422e+06	0
2.163	3	6	3	1.76422e+06	0
2.201	1	1	1	0.499845	0
2.201	2	2	1	0.499845	0
2.201	3	3	1	0.499845	0
2.203	1	4	3	1.76422e+06	0
2.203	2	5	3	1.76422e+06	0
2.203	3	6	3	1.76422e+06	0
2.241	1	1	1	0.499845	0
2.241	2	2	1	0.499845	0
2.241	3	3	1	0.499845	0
2.243	1	4	3	1.76422e+06	0
2.243	2	5	3	1.76422e+06	0
2.243	3	6	3	1.76422e+06	0
2.281	1	1	1	0.499845	0
2.281	2	2	1	0.499845	0
2.281	3	3	1	0.499845	0
2.283	1	4	3	1.76422e+06	0
2.283	2	5	3	1.76422e+06	0
2.283	3	6	3	1.76422e+06	0
2.321	1	1	1	0.499845	0
2.321	2	2	1	0.499845	0
2.321	3	3	1	0.499845	0
2.323	1	4	3	1.76422e+06	0
2.323	2	5	3	1.76422e+06	0
2.323	3	6	3	1.76422e+06	0
2.361	1	1	1	0.499845	0
