% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.051	2	5	6	2	3	28	373	0
0.051	3	3	6	2	1	28	373	0
0.051	3	6	6	2	3	28	373	0
0.052	1	1	6	3	1	28	373	0
0.052	1	4	6	3	3	28	373	0
0.052	2	2	6	3	1	28	373	0
0.052	2	5	6	3	3	28	373	0
0.052	3	3	6	3	1	28	373	0
0.052	3	6	6	3	3	28	373	0
0.053	1	1	6	4	1	28	373	0
0.053	1	4	6	4	3	28	373	0
0.053	2	2	6	4	1	28	373	0
0.053	2	5	6	4	3	28	373	0
0.053	3	3	6	4	1	28	373	0
0.053	3	6	6	4	3	28	373	0
0.054	1	4	6	5	3	28	373	0
0.054	2	2	6	5	1	28	373	0
0.054	2	5	6	5	3	28	373	0
0.054	3	3	6	5	1	28	373	0
0.054	3	6	6	5	3	28	373	0
0.055	1	1	6	6	1	28	373	0
0.055	1	4	6	6	3	28	373	0
0.055	2	2	6	6	1	28	373	0
0.055	2	5	6	6	3	28	373	0
0.055	3	3	6	6	1	28	373	0
0.055	3	6	6	6	3	28	373	0
0.056	1	1	6	7	1	28	373	0
0.056	1	4	6	7	3	28	373	0
0.056	2	2	6	7	1	28	373	0
0.056	2	5	6	7	3	28	373	0
0.056	3	3	6	7	1	28	373	0
0.056	3	6	6	7	3	28	373	0
0.057	1	1	6	8	1	28	373	0
0.057	1	4	6	8	3	28	373	0
0.057	2	2	6	8	1	28	373	0
0.057	2	5	6	8	3	28	373	0
0.057	3	3	6	8	1	28	373	0
0.057	3	6	6	8	3	28	373	0
0.058	1	1	6	9	1	28	373	0
0.058	1	4	6	9	3	28	373	0
0.058	2	5	6	9	3	28	373	0
0.058	3	3	6	9	1	28	373	0
0.058	3	6	6	9	3	28	373	0
0.059	1	1	6	10	1	28	373	0
0.059	1	4	6	10	3	28	373	0
0.059	2	2	6	10	1	28	373	0
0.059	2	5	6	10	3	28	373	0
0.059	3	3	6	10	1	28	373	0
0.059	3	6	6	10	3	28	373	0
0.06	1	1	7	1	1	28	373	0
0.06	1	4	7	1	3	28	373	0
0.06	2	2	7	1	1	28	373	0
0.06	2	5	7	1	3	28	373	0
0.06	3	3	7	1	1	28	373	0
0.06	3	6	7	1	3	28	373	0
0.061	1	1	7	2	1	28	373	0
0.061	1	4	7	2	3	28	373	0
0.061	2	5	7	2	3	28	373	0
0.061	3	3	7	2	1	28	373	0
0.061	3	6	7	2	3	28	373	0
0.062	1	1	7	3	1	28	373	0
0.062	1	4	7	3	3	28	373	0
0.062	2	2	7	3	1	28	373	0
0.062	2	5	7	3	3	28	373	0
0.062	3	3	7	3	1	28	373	0
0.062	3	6	7	3	3	28	373	0
0.063	1	1	7	4	1	28	373	0
0.063	1	4	7	4	3	28	373	0
0.063	2	2	7	4	1	28	373	0
0.063	2	5	7	4	3	28	373	0
0.063	3	3	7	4	1	28	373	0
0.063	3	6	7	4	3	28	373	0
0.064	1	1	7	5	1	28	373	0
0.064	1	4	7	5	3	28	373	0
0.064	2	2	7	5	1	28	373	0
0.064	2	5	7	5	3	28	373	0
0.064	3	3	7	5	1	28	373	0
0.064	3	6	7	5	3	28	373	0
0.065	1	1	7	6	1	28	373	0
0.065	1	4	7	6	3	28	373	0
0.065	2	2	7	6	1	28	373	0
0.065	2	5	7	6	3	28	373	0
0.065	3	3	7	6	1	28	373	0
0.065	3	6	7	6	3	28	373	0
0.066	1	1	7	7	1	28	373	0
0.066	1	4	7	7	3	28	373	0
0.066	2	2	7	7	1	28	373	0
0.066	2	5	7	7	3	28	373	0
0.066	3	3	7	7	1	28	373	0
0.066	3	6	7	7	3	28	373	0
0.067	1	1	7	8	1	28	373	0
0.067	1	4	7	8	3	28	373	0
0.067	2	2	7	8	1	28	373	0
0.067	2	5	7	8	3	28	373	0
0.067	3	3	7	8	1	28	373	0
0.067	3	6	7	8	3	28	373	0
0.068	1	1	7	9	1	28	373	0
0.068	1	4	7	9	3	28	373	0
0.068	2	2	7	9	1	28	373	0
0.068	2	5	7	9	3	28	373	0
0.068	3	3	7	9	1	28	373	0
0.068	3	6	7	9	3	28	373	0
0.069	1	1	7	10	1	28	373	0
0.069	1	4	7	10	3	28	373	0
0.069	2	2	7	10	1	28	373	0
0.069	2	5	7	10	3	28	373	0
0.069	3	3	7	10	1	28	373	0
0.069	3	6	7	10	3	28	373	0
0.07	1	1	8	1	1	28	373	0
0.07	1	4	8	1	3	28	373	0
0.07	2	2	8	1	1	28	373	0
0.07	2	5	8	1	3	28	373	0
0.07	3	3	8	1	1	28	373	0
0.07	3	6	8	1	3	28	373	0
0.071	1	1	8	2	1	28	373	0
0.071	1	4	8	2	3	28	373	0
0.071	2	2	8	2	1	28	373	0
0.071	2	5	8	2	3	28	373	0
0.071	3	3	8	2	1	28	373	0
0.071	3	6	8	2	3	28	373	0
0.072	1	1	8	3	1	28	373	0
0.072	1	4	8	3	3	28	373	0
0.072	2	2	8	3	1	28	373	0
0.072	2	5	8	3	3	28	373	0
0.072	3	3	8	3	1	28	373	0
0.072	3	6	8	3	3	28	373	0
0.073	1	1	8	4	1	28	373	0
0.073	1	4	8	4	3	28	373	0
0.073	2	2	8	4	1	28	373	0
0.073	2	5	8	4	3	28	373	0
0.073	3	3	8	4	1	28	373	0
0.073	3	6	8	4	3	28	373	0
0.074	1	1	8	5	1	28	373	0
0.074	1	4	8	5	3	28	373	0
0.074	2	2	8	5	1	28	373	0
0.074	2	5	8	5	3	28	373	0
0.074	3	3	8	5	1	28	373	0
0.074	3	6	8	5	3	28	373	0
0.075	1	1	8	6	1	28	373	0
0.075	1	4	8	6	3	28	373	0
0.075	2	2	8	6	1	28	373	0
0.075	2	5	8	6	3	28	373	0
0.075	3	3	8	6	1	28	373	0
0.075	3	6	8	6	3	28	373	0
0.076	1	1	8	7	1	28	373	0
0.076	1	4	8	7	3	28	373	0
0.076	2	2	8	7	1	28	373	0
0.076	2	5	8	7	3	28	373	0
0.076	3	3	8	7	1	28	373	0
0.076	3	6	8	7	3	28	373	0
0.077	1	1	8	8	1	28	373	0
0.077	1	4	8	8	3	28	373	0
0.077	2	2	8	8	1	28	373	0
0.077	2	5	8	8	3	28	373	0
0.077	3	3	8	8	1	28	373	0
0.077	3	6	8	8	3	28	373	0
0.078	1	1	8	9	1	28	373	0
0.078	1	4	8	9	3	28	373	0
0.078	2	2	8	9	1	28	373	0
0.078	2	5	8	9	3	28	373	0
0.078	3	3	8	9	1	28	373	0
0.078	3	6	8	9	3	28	373	0
0.079	1	1	8	10	1	28	373	0
0.079	1	4	8	10	3	28	373	0
0.079	2	2	8	10	1	28	373	0
0.079	2	5	8	10	3	28	373	0
0.079	3	3	8	10	1	28	373	0
0.079	3	6	8	10	3	28	373	0
0.08	1	4	9	1	3	28	373	0
0.08	2	2	9	1	1	28	373	0
0.08	2	5	9	1	3	28	373	0
0.08	3	3	9	1	1	28	373	0
0.08	3	6	9	1	3	28	373	0
0.081	1	1	9	2	1	28	373	0
0.081	1	4	9	2	3	28	373	0
0.081	2	2	9	2	1	28	373	0
0.081	2	5	9	2	3	28	373	0
0.081	3	3	9	2	1	28	373	0
0.081	3	6	9	2	3	28	373	0
0.082	1	1	9	3	1	28	373	0
0.082	1	4	9	3	3	28	373	0
0.082	2	2	9	3	1	28	373	0
0.082	2	5	9	3	3	28	373	0
0.082	3	3	9	3	1	28	373	0
0.082	3	6	9	3	3	28	373	0
0.083	1	1	9	4	1	28	373	0
0.083	1	4	9	4	3	28	373	0
0.083	2	2	9	4	1	28	373	0
0.083	2	5	9	4	3	28	373	0
0.083	3	3	9	4	1	28	373	0
0.083	3	6	9	4	3	28	373	0
0.084	1	1	9	5	1	28	373	0
0.084	1	4	9	5	3	28	373	0
0.084	2	2	9	5	1	28	373	0
0.084	2	5	9	5	3	28	373	0
0.084	3	3	9	5	1	28	373	0
0.084	3	6	9	5	3	28	373	0
0.085	1	1	9	6	1	28	373	0
0.085	1	4	9	6	3	28	373	0
0.085	2	2	9	6	1	28	373	0
0.085	2	5	9	6	3	28	373	0
0.085	3	3	9	6	1	28	373	0
0.085	3	6	9	6	3	28	373	0
0.086	1	1	9	7	1	28	373	0
0.086	1	4	9	7	3	28	373	0
0.086	2	2	9	7	1	28	373	0
0.086	2	5	9	7	3	28	373	0
0.086	3	3	9	7	1	28	373	0
0.086	3	6	9	7	3	28	373	0
0.087	1	1	9	8	1	28	373	0
0.087	1	4	9	8	3	28	373	0
0.087	2	2	9	8	1	28	373	0
0.087	2	5	9	8	3	28	373	0
0.087	3	3	9	8	1	28	373	0
0.087	3	6	9	8	3	28	373	0
0.088	1	1	9	9	1	28	373	0
0.088	1	4	9	9	3	28	373	0
0.088	2	2	9	9	1	28	373	0
0.088	2	5	9	9	3	28	373	0
0.088	3	3	9	9	1	28	373	0
0.088	3	6	9	9	3	28	373	0
0.089	1	1	9	10	1	28	373	0
0.089	1	4	9	10	3	28	373	0
0.089	2	2	9	10	1	28	373	0
0.089	2	5	9	10	3	28	373	0
0.089	3	3	9	10	1	28	373	0
0.089	3	6	9	10	3	28	373	0
0.09	1	1	10	1	1	28	373	0
0.09	1	4	10	1	3	28	373	0
0.09	2	2	10	1	1	28	373	0
0.09	2	5	10	1	3	28	373	0
0.09	3	3	10	1	1	28	373	0
0.09	3	6	10	1	3	28	373	0
0.091	1	1	10	2	1	28	373	0
0.091	1	4	10	2	3	28	373	0
0.091	2	2	10	2	1	28	373	0
0.091	2	5	10	2	3	28	373	0
0.091	3	3	10	2	1	28	373	0
0.091	3	6	10	2	3	28	373	0
0.092	1	1	10	3	1	28	373	0
0.092	1	4	10	3	3	28	373	0
0.092	2	2	10	3	1	28	373	0
0.092	2	5	10	3	3	28	373	0
0.092	3	3	10	3	1	28	373	0
0.092	3	6	10	3	3	28	373	0
0.093	1	1	10	4	1	28	373	0
0.093	1	4	10	4	3	28	373	0
0.093	2	2	10	4	1	28	373	0
0.093	2	5	10	4	3	28	373	0
0.093	3	3	10	4	1	28	373	0
0.093	3	6	10	4	3	28	373	0
0.094	1	1	10	5	1	28	373	0
0.094	1	4	10	5	3	28	373	0
0.094	2	2	10	5	1	28	373	0
0.094	2	5	10	5	3	28	373	0
0.094	3	3	10	5	1	28	373	0
0.094	3	6	10	5	3	28	373	0
0.095	1	1	10	6	1	28	373	0
0.095	1	4	10	6	3	28	373	0
